# en|sv|da|nb|de — release review additions
Secure random numbers are unavailable. Use a current browser.|Säkra slumptal saknas. Använd en modern webbläsare.|Sikre tilfældige tal er ikke tilgængelige. Brug en moderne browser.|Sikre tilfeldige tall er ikke tilgjengelige. Bruk en moderne nettleser.|Sichere Zufallszahlen sind nicht verfügbar. Verwenden Sie einen aktuellen Browser.
track warrants reserving limits|Track Warrants som reserverar gränser|Track Warrants med reserverede grænser|Track Warrants med reserverte grenser|Track Warrants mit reservierten Grenzen
Train schedule & job instructions|Tågets tidtabell och arbetsinstruktioner|Togets køreplan og arbejdsinstruktioner|Togets rutetabell og arbeidsinstruksjoner|Zugfahrplan und Arbeitsanweisungen
Enter the six-digit code shown beside the published version in Cloud. You can change the address if you use another compatible configuration server.|Ange den sexsiffriga kod som visas vid den publicerade versionen i Cloud. Adressen kan ändras om ni använder en annan kompatibel konfigurationsserver.|Indtast den sekscifrede kode ved den publicerede version i Cloud. Adressen kan ændres, hvis I bruger en anden kompatibel konfigurationsserver.|Skriv inn den sekssifrede koden ved den publiserte versjonen i Cloud. Adressen kan endres hvis dere bruker en annen kompatibel konfigurasjonsserver.|Geben Sie den sechsstelligen Code bei der veröffentlichten Version in Cloud ein. Bei einem anderen kompatiblen Konfigurationsserver können Sie die Adresse ändern.
RAILROAD OVERVIEW|BANÖVERSIKT|BANEOVERSIGT|BANEOVERSIKT|STRECKENÜBERSICHT
TRAIN ROUTES (|TÅGRUTTER (|TOGRUTER (|TOGRUTER (|ZUGLAUFWEGE (
TRAINS)|TÅG)|TOG)|TOG)|ZÜGE)
The server itself: name, sign-in, software, Cloud connection and reset. Build the session content under|Servern själv: namn, inloggning, programvara, Cloud-koppling och nollställning. Träffens innehåll byggs under|Selve serveren: navn, login, software, Cloud-forbindelse og nulstilling. Træffets indhold bygges under|Selve serveren: navn, innlogging, programvare, Cloud-tilkobling og nullstilling. Treffets innhold bygges under|Der Server selbst: Name, Anmeldung, Software, Cloud-Verbindung und Zurücksetzen. Den Inhalt des Treffens erstellen Sie unter
One choice instead of three menu items. This choice determines whether stations, sections and the timetable are locked or editable in the next step.|Ett val i stället för tre menypunkter. Valet avgör om stationer, sträckor och tidtabell är låsta eller redigerbara i nästa steg.|Ét valg i stedet for tre menupunkter. Valget afgør, om stationer, strækninger og køreplan er låst eller kan redigeres i næste trin.|Ett valg i stedet for tre menypunkter. Valget avgjør om stasjoner, strekninger og rutetabell er låst eller kan redigeres i neste trinn.|Eine Auswahl statt drei Menüpunkten. Sie bestimmt, ob Bahnhöfe, Strecken und Fahrplan im nächsten Schritt gesperrt oder bearbeitbar sind.
The session's train movements. Grouping only changes how the list is displayed — the records stay the same.|Tågrörelserna på träffen. Grupperingen ändrar bara hur listan visas — raderna är desamma.|Træffets togbevægelser. Grupperingen ændrer kun listens visning — posterne er de samme.|Treffets togbevegelser. Grupperingen endrer bare visningen av listen — postene er de samme.|Die Zugbewegungen des Treffens. Die Gruppierung ändert nur die Darstellung — die Datensätze bleiben gleich.
The list order is the railroad order. Sections and A–D panels can be built from it — you do not need to enter the same information three times.|Ordningen i listan är banans ordning. Sträckor och A–D-paneler kan byggas ur den — du behöver inte fylla i samma sak tre gånger.|Listens rækkefølge er banens rækkefølge. Strækninger og A–D-paneler kan bygges ud fra den — du behøver ikke indtaste det samme tre gange.|Rekkefølgen i listen er banens rekkefølge. Strekninger og A–D-paneler kan bygges fra den — du trenger ikke fylle ut det samme tre ganger.|Die Listenreihenfolge entspricht der Strecke. Streckenabschnitte und A–D-Panels können daraus erstellt werden — ohne dreifache Eingabe.
