# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
{count} tracks|{count} spår|{count} spor|{count} spor|{count} Gleise
{count} sections|{count} sträckor|{count} strækninger|{count} strekninger|{count} Strecken
Station tracks|Stationsspår|Stationsspor|Stasjonsspor|Betriebsstellengleise
Connections|Anslutningar|Forbindelser|Tilkoblinger|Verbindungen
Running|Går|Kører|Går|Läuft
Not running|Står still|Står stille|Står stille|Steht
Saving …|Sparar …|Gemmer …|Lagrer …|Wird gespeichert …
Approaching|På väg in|På vej ind|På vei inn|Nähert sich
Clearance required before departure|Klarering krävs före avgång|Tilladelse kræves før afgang|Tillatelse kreves før avgang|Fahrberechtigung vor Abfahrt erforderlich
Notify TKL|Avisera TKL|Underret TKL|Varsle TKL|TKL benachrichtigen
Choose track|Välj spår|Vælg spor|Velg spor|Gleis auswählen
(unavailable)|(ej tillgängligt)|(ikke tilgængeligt)|(ikke tilgjengelig)|(nicht verfügbar)
First start|Första starten|Første start|Første oppstart|Erster Start
Setup in progress|Installation pågår|Installation i gang|Installasjon pågår|Einrichtung läuft
Setup steps|Installationssteg|Installationstrin|Installasjonstrinn|Einrichtungsschritte
Meet|Träff|Træf|Treff|Treffen
Done|Klart|Færdig|Ferdig|Fertig
Step 1 of 4|Steg 1 av 4|Trin 1 af 4|Trinn 1 av 4|Schritt 1 von 4
Step 2 of 4|Steg 2 av 4|Trin 2 af 4|Trinn 2 av 4|Schritt 2 von 4
Step 3 of 4|Steg 3 av 4|Trin 3 af 4|Trinn 3 av 4|Schritt 3 von 4
Step 4 of 4|Steg 4 av 4|Trin 4 af 4|Trinn 4 av 4|Schritt 4 von 4
Create the administrator|Skapa administratören|Opret administratoren|Opprett administratoren|Administrator anlegen
Repeat password|Upprepa lösenord|Gentag adgangskode|Gjenta passord|Passwort wiederholen
We will take it step by step. The server has no example stations or default login credentials.|Vi tar det steg för steg. Inga exempelstationer eller förvalda inloggningsuppgifter finns på servern.|Vi tager det trin for trin. Serveren har ingen eksempelstationer eller forudvalgte loginoplysninger.|Vi tar det trinn for trinn. Serveren har ingen eksempelstasjoner eller forhåndsvalgte innloggingsopplysninger.|Wir gehen Schritt für Schritt vor. Der Server enthält keine Beispielbetriebsstellen oder voreingestellten Zugangsdaten.
Choose the credentials for administering the server from other devices.|Välj uppgifterna som ska användas när servern administreras från andra enheter.|Vælg de oplysninger, der bruges til at administrere serveren fra andre enheder.|Velg opplysningene som skal brukes til å administrere serveren fra andre enheter.|Wähle die Zugangsdaten zur Verwaltung des Servers von anderen Geräten.
Login|Inloggning|Login|Innlogging|Anmeldung
Name this server|Ge servern ett namn|Giv serveren et navn|Gi serveren et navn|Server benennen
Connect the meet|Koppla träffen|Forbind træffet|Koble til treffet|Treffen verbinden
Used to reset your password. Without an email address, the account cannot be recovered.|Används för att återställa lösenordet. Utan adress går kontot inte att komma tillbaka till.|Bruges til at nulstille adgangskoden. Uden en adresse kan kontoen ikke gendannes.|Brukes til å tilbakestille passordet. Uten en adresse kan kontoen ikke gjenopprettes.|Zum Zurücksetzen des Passworts. Ohne Adresse kann das Konto nicht wiederhergestellt werden.
Enter your account's email address and we will send you a link to choose a new password.|Ange e-postadressen till ditt konto, så skickar vi en länk för att välja ett nytt lösenord.|Angiv kontoens e-mailadresse, så sender vi et link til at vælge en ny adgangskode.|Skriv inn kontoens e-postadresse, så sender vi en lenke for å velge et nytt passord.|Gib die E-Mail-Adresse deines Kontos ein. Wir senden dir einen Link zur Wahl eines neuen Passworts.
The link is valid for one hour and can only be used once. Check your spam folder if it takes a while.|Länken gäller i en timme och kan bara användas en gång. Kolla skräpposten om brevet dröjer.|Linket gælder i en time og kan kun bruges én gang. Tjek spam, hvis brevet er forsinket.|Lenken gjelder i én time og kan bare brukes én gang. Sjekk søppelpost hvis brevet drøyer.|Der Link gilt eine Stunde und kann nur einmal verwendet werden. Prüfe bei Verzögerung den Spamordner.
Ask the person who invited you to send a new invitation.|Be den som bjöd in dig att skicka en ny.|Bed den, der inviterede dig, om at sende en ny invitation.|Be den som inviterte deg, om å sende en ny invitasjon.|Bitte die einladende Person um eine neue Einladung.
Request another change from your account settings.|Begär ett nytt byte från kontoinställningarna.|Anmod om en ny ændring fra kontoindstillingerne.|Be om en ny endring fra kontoinnstillingene.|Fordere die Änderung erneut in den Kontoeinstellungen an.
Your account's email address has been updated. You have been signed out on all devices; sign in again.|E-postadressen på ditt konto är uppdaterad. Du loggades ut på alla enheter, så logga in igen.|Kontoens e-mailadresse er opdateret. Du er logget ud på alle enheder; log ind igen.|Kontoens e-postadresse er oppdatert. Du er logget ut på alle enheter; logg inn igjen.|Die E-Mail-Adresse wurde aktualisiert. Du wurdest auf allen Geräten abgemeldet. Melde dich erneut an.
Email address changed|Adressen är bytt|Adressen er ændret|Adressen er endret|Adresse geändert
Confirming email address|Bekräftar adressen|Bekræfter adressen|Bekrefter adressen|Adresse wird bestätigt
Reading invitation…|Läser inbjudan…|Læser invitation…|Leser invitasjon…|Einladung wird geladen…
If an account exists with that address, an email is on its way.|Finns ett konto med den adressen är ett brev på väg.|Hvis der findes en konto med adressen, er en e-mail på vej.|Hvis det finnes en konto med adressen, er en e-post på vei.|Falls ein Konto mit dieser Adresse existiert, ist eine E-Mail unterwegs.
The invitation has expired or has already been used.|Inbjudan har gått ut eller är redan använd.|Invitationen er udløbet eller allerede brugt.|Invitasjonen er utløpt eller allerede brukt.|Die Einladung ist abgelaufen oder wurde bereits verwendet.
has invited you to|har bjudit in dig till|har inviteret dig til|har invitert deg til|hat dich eingeladen zu
. Your account will be linked to|. Kontot kopplas till|. Kontoen tilknyttes|. Kontoen knyttes til|. Das Konto wird verknüpft mit
From source files to a verified operating package.|Från källfiler till ett verifierat driftpaket.|Fra kildefiler til en verificeret driftspakke.|Fra kildefiler til en verifisert driftspakke.|Von Quelldateien zu einem geprüften Betriebspaket.
